Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
0,Bisnis Menantang Cangkir Keramik Bergambar Kartun-Kartun Lucu Buatan Tangan,2023-02-27,Liputancom Jakarta Pecinta kartun dan animasi pasti akan histeris saat melihat cangkir keramik yang dibuat oleh Wildflower Pottery Pasalnya cangkir ini bukan seperti cangkir yang biasa ditemukan Beraneka bentuk cangkir bergambar aneka tokoh kartun akan menarik hati siapa pun yang melihatnya Usaha kerajinan handmade asal Surabaya ini dicetuskan oleh seorang wanita muda Rafaela Deandra pada Dia mulai mempelajari proses pembuatan keramik atau pottery sejak Awalnya ia hanya belajar selama satu minggu untuk mengisi waktu luang Ia tidak menyangka membuat keramik akan menjadi hal yang ditekuni bahkan menghasilkan cuan Tapi jadinya belajar sampai berbulanbulan dan ambil beberapa kelas dengan teknik lainnya karena ternyata seru banget ungkap Deandra kepada Liputancom Senin Februari Gambar tokoh kartun yang dilukis pada cangkir Wildflower Pottery bervariasi berbagai kartun Amerika seperti Spongebob Squarepants Scooby Doo Adventure Time Snoopy dan tokoh Toy Story tersedia Terdapat pula lukisan berbagai tokoh dari animasi Jepang terutama Ghibli seperti Totoro Ponyo tokoh Spirited Away Shinchan dan Hello Kitty Pemilihan tokoh kartun sebagai subjek utama untuk ditampilkan mempertimbangkan karakter orang Indonesia yang banyak menyukai kartun dan animasi Tokoh yang dipilih juga yang populer di Indonesia Selain itu Wildflower Pottery juga pernah mengeluarkan koleksi dengan lukisan kemasankemasan jajanan populer di Indonesia seperti Ultra Milk Teh Kotak dan NyamNyam Bahan baku yang digunakan untuk membuat keramik Wildflower Pottery adalah tanah liat atau clay khususnya jenis white stonewear Jadi tanahnya lebih putih dan lebih mudah dipainting ujar Deandra,234.0,0.0,238,Positif,3.0,0.9938,", indonesia, puasa, umkm, usaha, sampah, milik, bisnis, kembang, kolaborasi"
1,"Sneakerhead, Ini Tips Merawat Sepatu yang Collectable!",2023-02-26,Para sneakerhead yang mempunyai puluhan hingga ratusan sepatu dengan berbagai bentuk dan mode tentu pernah mengalami sepatu berjamur hingga rusak Menurut dr Tirta Mandira Hudhi sebagai seorang sneakerhead hal seperti ini bisa diatasi dengan memerhatikan tempat menyimpan sepatu Ini subyektif ya tapi saya menyimpan sepatu saya di kantor di ruangan berAC yang memiliki sirkulasi udara bagus serta pencahayaan yang cukup ucap dr Tirtha Mandira Hudhi saat ditemui di Footlocker Kota Kasablanka pada Jumat Foot Locker Foto Nadia Agsa Foot Locker Foto Nadia Agsa Tak hanya sekedar memerhatikan tempat penyimpanan sang dokter juga memberikan tips dalam merawat sepatu Sepatu itu tidak boleh terlalu sering dicuci Nah ini adalah kesalahan orangorang yang sering terjadi Paling nggak sepatu dicuci sekali dalam sebulan Silica gel nggak boleh dibuang karena sangat berguna untuk menjaga kelembapan tuturnya Foot Locker Foto Nadia Agsa Foot Locker Foto Nadia Agsa Sementara itu kabar bahagia untuk para pecinta sepatu Pasalnya Foot Locker Indonesia melalui PT MAP Aktif Adiperkasa MAPA membuka gerai ke di Mal Kota Kasablanka Jakarta Selatan untuk memperluas jangkauan dan memenuhi kebutuhan para sneakers enthusiast Tanah Air Di toko yang baru ini Foot Locker terbagi lantai dan terdapat beberapa area seperti Women Men dan Kids Setiap area akan menampilkan penawaran produkproduk menarik bagi pengunjung Foot Locker juga menghadirkan Basketball arcade dan Playstation untuk menghadirkan pengalaman unik saat pengunjung bertandang ke toko,1896.0,0.0,1897,Positif,2.0,0.9939,"orang, indonesia, konten, dokter, , halal, ratu, salah, tactical, pasang"
2,"Fakta-Fakta Menarik Jinny's Kitchen, V BTS Ikut Jualan Jajanan Korea",2023-02-27,Liputancom Jakarta Program Jinny’ Kitchen yang banyak ditunggu akhirnya sudah tayang mulai Februari di Prime Video Variery show ini menghadirkan Park Seo Joon Jung Yu Min Lee Seo Jin Choi Woo Shik dan  BTS Program ini menampilkan pengalaman para pemeran yang membuka dan menjalankan restoran street food atau jajanan Korea di Bacalar Meksiko Indonesia menjadi salah satu negara yang bisa menyaksikan tayangan ini lebih awal termasuk Amerika Serikat Inggris Kanada Australia Taiwan Hong Kong Singapura Malaysia Thailand Filipinadan Vietnam Sedangkan di negara lainnya Jinnys Kitchen baru akan pada akhir bulan mendatang Acara yang tayang tiap Jumat ini mengikuti kesuksesan Youn’ Kitchen yang diproduksi perusahaan hiburan terkemuka Korea CJ ENM yang juga menunjukkan para pemeran atau aktor membuka dan menjalankan restoran Korea kecil di luar negeri Jinnys Kitchen menjadi pendatang baru dari ribuan serial TV dan film dalam katalog Prime Video termasuk juduljudul eksklusif dari Asia Tenggara Sutradara Nah Yungsuk bersama Lee Seojin Jung Yumi Park Seojun Choi Wooshik dan  BTS berkumpul dalam konferensi pers Jinny’ Kitchen di Seoul Korea Selatan belum lama ini Dalam kesempatan itu mereka mengungkaokan sejumlah cerita seputar keterlibatan mereka di serial tersebut Berikut beberapa fakta menarik seputar Jinny’ Kitchen menurut keterangan tertulis yang diterima Liputancom,20.0,0.0,21,Neutral,5.0,0.8698,"es, sholat, baca, witir, resep, teler, juga, doger, sapi, anda"
3,Studi: Pekerja Bergaji Rendah Lebih Rentan Mati Duluan,2023-02-26,Jakarta CNBC Indonesia Besaran gaji ternyata tidak hanya bisa memengaruhi kondisi finansial seseorang tetapi juga kesehatan hingga harapan hidup Sebuah studi yang dipublikasikan di jurnal medis JAMA mengungkap bahwa pekerja paruh baya yang cenderung mendapatkan gaji rendah memiliki risiko kematian yang lebih tinggi Bagaimana gaji memengaruhi risiko kematian seseorang Dilansir dari CNN para peneliti dari Mailman School of Public Health Universitas Columbia mengamati metrik kesehatan ribu pekerja berusia hingga tahun di Amerika Serikat AS selama periode tahun Data yang digunakan diperoleh dari Studi Kesehatan dan Pensiun Universitas Michigan yang dikumpulkan antara tahun dan ADVERTISEMENT SCROLL TO RESUME CONTENT Hasil penelitian tersebut menunjukkan pekerja yang memiliki riwayat gaji rendah dengan pendapatan tahunan di bawah garis kemiskinan untuk keluarga beranggotakan empat orang persen lebih berisiko meninggal dalam tahun dibandingkan mereka yang tidak pernah bergaji rendah Studi menemukan bahwa risiko tersebut dua kali lebih tinggi bagi orang yang memiliki pekerjaan tidak tetap dan selalu memperoleh bayaran rendah Pekerja dengan upah rendah lebih sering sakit dan stress Pekerja dengan upah rendah masuk ke dalam kategori paling berisiko dalam angkatan kerja Sebab mereka selalu melakukan pekerjaan yang berisiko di tempat kerja cenderung lebih stres dan memiliki risiko tinggi terhadap kesehatan Data penelitian menunjukkan pekerja dengan upah rendah secara signifikan lebih sering melaporkan kesehatan yang buruk gejala depresi dan tidak memiliki asuransi kesehatan yang ditanggung oleh perusahaan mereka Upah adalah faktor risiko yang dapat diubah dan ditindaklanjuti untuk meningkatkan kesehatan dan ketidaksetaraan kesehatan tulis para peneliti dikutip Minggu Pergeseran komposisi pasar tenaga kerja dan kurangnya jumlah tenaga pekerja di daerah telah mendorong kenaikan upah di AS selama dua tahun terakhir Namun umumnya kenaikan upah tersebut tidak dapat mengimbangi inflasi harga yang tinggi Menurut Indeks Biaya Ketenagakerjaan Biro Statistik Tenaga Kerja AS bila menyesuaikan inflasi upah dan gaji turun sebanyak persen untuk setahun Pekerja berpenghasilan rendah dan menengah terutama dari industri rekreasi dan perhotelan biasanya mengalami pertumbuhan upah yang lebih cepat daripada mereka yang berpenghasilan lebih tinggi Namun pendapatan rumah tangga tetap tidak merata dan mereka terus dirugikan akibat terjadinya inflasi Peneliti Federal Reserve Bank of Dallas menyebutkan sebagian besar pendapatan rumah tangga berpenghasilan rendah digunakan untuk kebutuhan seharihari seperti makanan gas dan sewa tempat tinggal Lalu mereka juga tidak memiliki tabungan,68.0,29.0,133,Neutral,6.0,0.9959,"makan, nikita, anak, kerja, usia, , kaleng, rendah, tulis, milik"
4,4 Jenis Kegagalan dalam Hidup yang Perlu Kamu Ketahui dan Cara Mengatasinya,2023-02-26,Setiap orang pasti pernah merasakan berbagai macam kegagalan didalam hidupnya Kegagalan tersebut bisa terjadi baik karena disengaja maupun tidak disengaja yang terkadang membuat seseorang merasa stres dan rendah diri karena tidak mengerti bagaimana cara mengatasi kegagalan tersebut Pada dasarnya setiap kegagalan memiliki cara penyelesaian yang berbedabeda Untuk itu diartikel kali ini kita akan membahas tentang empat jenis kegagalan dalam hidup serta cara mengatasinya agar kamu tidak lagi hidup dalam bayangbayang kegagalan di masa lalu Careless Failure Jenis kegagalan yang pertama ini terjadi akibat kecerobohan diri sendiri Careless failure ini tidak bisa dikontrol namun memberikan dampak yang kecil bagi kehidupan Faktor pencetusnya adalah terburuburu lupa serta takut akan tertinggal dari orang lain BACA JUGA Rekomendasi Loose Powder Lokal Cocok untuk Oily Skin Misalnya saat kamu lupa mengecek kembali hasil pekerjaan yang kamu buat sebelumnya sehingga mendapatkan hasil yang kurang maksimal ataupun saat kamu lupa membuat jadwal harian sehingga banyak kegiatan ataupun pekerjaan yang tidak kamu selesaikan pada hari itu Cara terbaik untuk mengatasinya adalah belajar untuk tetap tenang meskipun berada dalam situasi terdesak agar kamu bisa tetap fokus untuk bekerja secara tepat dan tuntas Selain itu jika kamu tahu bahwa memiliki sifat pelupa kamu bisa menggunakan alarm pengingat untuk membuat rencana kerja harian Intentional Failure Jenis kegagalan yang kedua ini terjadi saat tahu bahwa apa yang telah kamu lakukan tersebut salah namun kamu masih terus melakukannya Dengan kata lain kegagalan ini sebenarnya bisa dikontrol serta dapat memberikan dampak bagi kehidupan meskipun terbilang kecil Contohnya saat kamu sedang dalam proses diet namun tetap mengonsumsi makanan yang mengandung banyak lemak dan gula tentu dietmu akan menjadi siasia Ataupun saat kamu melakukan Porn Masturbate and Orgasm PMO yang sudah jelas salah serta merusak diri sendiri Cara terbaik untuk mengatasi intentional failure adalah belajar disiplin untuk tidak melakukan hal yang sudah jelas salah dan stop membohongi dirimu sendiri BACA JUGA Tips Ampuh untuk Mencintai Pekerjaan yang Kamu Lakukan Accidental Failure Accidental failure merupakan jenis kegagalan yang tidak bisa dikontrol serta memberikan dampak yang besar bagi kehidupan Kegagalan jenis ini bisa terjadi saat kamu kehilangan suatu hal yang sangat berharga dalam kehidupan Misalnya saat kamu menderita penyakit kronis yang membuatmu kehilangan kebebasan untuk melakukan berbagai macam hal Ataupun saat kamu kehilangan pasangan dan musibah besar seperti kematian Untuk mengatasi jenis kegagalan yang ketiga ini kamu perlu meningkatkan self love atau lebih menyayangi diri sendiri sehingga muncul batasan untuk tidak selalu bergantung dengan kehadiran orang lain Glorious Failure Glorious Failure merupakan jenis kegagalan yang bisa dikontrol serta menimbulkan dampak yang besar bagi kehidupan Hal yang menyebabkan terjadinya Glorious Failure adalah saat kamu sudah mengusahakan yang terbaik namun tetap mendapatkan kegagalan BACA JUGA Zodiak yang Jago Mengadakan Pesta Terhebat Si Paling Entertaining Misalnya saat kamu telah mencoba berbagai keterampilan namun tidak mampu meraih kesuksesan Ataupun saat kamu telah matimatian belajar setiap hari namun tetap saja gagal dalam ujian Hal yang perlu kamu lakukan untuk mengatasi kegagalan jenis ini yaitu dengan melakukan evaluasi terhadap diri sendiri Mungkin saja ada beberapa poin yang terlewatkan untuk kamu lakukan sebelumnya Itulah tadi empat jenis kegagalan dalam hidup yang perlu kamu ketahui serta cara mengatasinya Sebagian isi artikel ini dilansir dari akun instagram animolife Semoga bermanfaat Cek berita dan artikel lainnya di GOOGLE NEWS,,,0,Negatif,9.0,0.9964,"sepatu, warna, jenis, orang, gagal, beda, pesta, infp, tampil, mie"
5,"J-Hope BTS Mulai Daftar Wamil, Begini Pernyataan Agensi",2023-02-26,Jakarta Beritasatucom Salah satu member BTS JHope menjadi personel lainnya yang telah mendaftarkan wajib militernya JHope merupakan member kedua yang siap melaksanakan wamil Hal tersebut diungkapkan pula oleh Bighit Music selaku agensi yang menaungi boyband tersebut Dalam laman resmi mereka Bighit memberikan pernyataan terkait keberangkatan JHope Advertisement BACA JUGA Siapsiap Bulan Mei Suga BTS Gelar Konser di Indonesia Kami ingin memberi tahu kepada penggemar bahwa JHope telah mendaftarkan wajib militernya kata dia mengutip laman Soompi Minggu Dijelaskan lebih lanjut pihak agensi meminta para Army untuk mendukung segala hal yang dilakukan BTS termasuk wamil Bighit pun berharap JHope bisa melaksanakan wamil dengan baik dan segera kembali berkarya dengan BTS Kami meminta dukungan dari kalian untuk JHope sampai dia tuntas melaksanakan wajib militer tersebut tambah agensi Meski demikian pihak agensi tidak memberitahukan kapan JHope akan melaksanakan tugas kemiliterannya itu Mereka hanya berjanji akan memberikan perkembangan terbaru terkait anak asuhannya itu Kami akan terus memberikan kabar terbaru jika waktunya tiba Diketahui sebelumnya Jin BTS sudah melakukan wajib militer pada Desember silam Agensi meminta kepada Army untuk tidak mengirimkan banyak hadiah untuk Jin yang sedang bertugas Saksikan live streaming programprogram BTV di sini,,,0,Neutral,9.0,0.9186,"sepatu, warna, jenis, orang, gagal, beda, pesta, infp, tampil, mie"
6,Psikolog Kilinis Sebut Bahayanya Mengidolakan Publik Figur Secara Fanatik,2023-02-26,Jakarta tvOnenewscom Psikolog klinis dewasa menyarankan para penggemar artis atau selebritis harus mempunyai batasan sejauh mana menyukai idolanya itu agar tak menjadi fanatik Mengingat menyukai sesuatu yang berlebihan atau fanatik akan membahayakan Menurut Psikolog klinis penggemar fanatik merujuk pada seseorang yang memiliki pemahaman berlebihan kegemaran kesukaan berlebihan terhadap sesuatu Bukan hanya remaja melainkan juga orang dewasa bisa menjadi penggemar fanatik Terkait hal tersebut pakar menilai fanatisme adalah berbahaya Ketika memang dia menyukai sesuatu kemudian itu sangat terinternalisasi ke dalam dirinya Jadi enggak sekedar suka tetapi merasa bahwa idolanya perlu diikuti bahkan sadar tidak sadar dia meniru semua tentang idolanya kata Psikolog Klinis Mega Minggu Oleh karena itu mempunyai batasan menjadi penting karena dapat menjadi semacam tembok agar individu tetap melakukan aktivitas seperti seharusnya tanpa terganggu kegiatan yang berhubungan dengan idolanya itu Oh dia idola yang memang semua orang menggemarinya juga aku suka filmnya suka musiknya sudah Enggak perlu mengikuti semua gayanya Kita seorang individu biasa yang juga punya aktivitas secara realita mungkin sekolah kuliah bekerja atau bahkan menjadi seorang ibu Jangan sampai lagi mengasuh anak kita enggak ngeliatin anak sibuk kepoin idola kita lagi ngapain atau nonton terus Itu kan enggak bagus kata Mega Menurut dia mengidolakan artis tertentu masih dikatakan wajar apabila masih bisa membedakan mana yang kenyataan dan sekadar kesenangan Misalnya tahu lagulagu atau menonton film yang dibintangi sang idola tanpa harus mengganggu aktivitas harian Tetapi menjadi tidak wajar kalau misal idolanya potong rambut dia ikutan potong rambut Idolanya beli barang tertentu dia ikutan beli Jadi dia berusaha untuk menyamai si idolanya itu sudah tidak wajar kata Mega Melakukan kegiatan yang produktif dan berolahraga dapat menjadi cara menghindari diri menjadi fanatik terhadap idola Olahraga sambung Mega bisa membantu mengeluarkan hormon bahagia sekaligus membuat pikiran menjadi lebih positif Jadi kita enggak melulu memikirkan idola kita Kita jadi lebih tahu batasan realitas kapan sih waktunya kita menunjukkan ini batasan saya bukan kehidupan dia tutur Mega Mega menambahkan sikap fanatik berlebihan bisa merugikan individu karena waktu yang bisa digunakan untuk halhal yang produktif menjadi akhirnya waktu terbuang begitu saja akibat terus menerus mengikuti kegiatan sang idola antmii,,,0,Negatif,0.0,0.9948,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
7,BAGAIMANA Perundingan Setelah Proklamasi Kemerdekaan? Kunci Jawaban IPS Kelas 9 Halaman 229,2023-02-26,INDOTRENDSID Bagaimana perundingan setelah Proklamasi Kemerdekaan Indonesia Simak kunci jawaban IPS kelas halaman kunci jawaban IPS kelas halaman aktivitas individu tentang Perundingan setelah Proklamasi Kemerdekaan Materi soal IPS kelas halaman Berikut kunci jawaban IPS kelas halaman aktivitas individu tentang perundingan setelah proklamasi kemerdekaanAktivitas Individu Cermati kembali uraian mengenai upaya diplomasi yang dilakukan untuk mempertahankan kemerdekaan Jelaskan peristiwaperistiwa yang berkaitan dengan upaya tersebut pada kolom berikut,,,0,Neutral,0.0,0.9808,"tubuh, zodiak, suhu, ramal, sehat, mario, bantu, david, dandy, anak"
8,Intip Koleksi Fora Blaze MKS Shoes dengan Sentuhan Warna Vibrant | Dream.co.id,2023-02-26,Koleksi terbaru Fora Blaze ini pun hadir di popup store terbaru MKS di Grand Indonesia Dream Tak hanya warna baju rambut dan eyeshadow saja yang memiliki trend berbeda di setiap tahunnya Tren warna sepatu pun juga dinamis selalu berganti tiap tahunnya Tahun ini warnawarna sepatu yang cerah dan warna berani mulai menjadi tren dan mulai dilirik pecinta fesyen © Ferdike Yunuri Nadya Dream “ Tren sekarang ini warnanya lebih vibrant Dan sesuai dengan gaya desain MKS sendiri kita memang menggabungkan warna netral dan vibrant” jelas Venty Marketing Leader MKS pada Opening Popup Store MKS di Grand Indonesia Sabtu Februari,8.0,0.0,16,Positif,6.0,0.987,"makan, nikita, anak, kerja, usia, , kaleng, rendah, tulis, milik"
9,Niat Sholat Witir dan Tata Caranya,2023-02-26,Berikut ini informasi mengenai bacaan niat sholat witir dan tata caranya yang perlu diketahui setiap Muslim Suaracom Sholat witir merupakan salah satu ibadah sholat sunnah yang biasanya dilakukan sebagai penutup ibadah shalat malam seperti sholat tarawih sholat hajat sholat tahajud dan lainnya Adapun bacaan niat sholat witir dan tata caranya yakni sebagai berikut Diketahui jumlah rakaat sholat witir ini terdiri dari angka ganjil mulai dari satu rakaat hingga rakaat Adapun anjuran sholat witir tertuang dalam hadis Rasulullah SAW seperti berikut ini Witir itu adalah hak setiap muslim siapa yang lebih suka witir lima rakaat maka kerjakanlah dan barang siapa yang lebih suka witir satu rakaat maka kerjakanlah HR Imam abu Daud dan Imam Al Nasai Waktu Pelaksanaan Sholat Witir Baca Juga Aturan Rakaat Sholat Witir Lengkap Bersama Bacaan Niatnya Untuk pelaksanaan sholat witir dilakukan usai melaksanakan sholat sunnah lainnya Untuk waktu pelaksanaannya bisa diawal malam selepas isya pertengahan malam atau bisa juga jelang waktu subuh Ini tertuang dalam hadis Rasulullah SAW yang bunyinya sebagai berikut Dari Aisyah RA berkata Dari setiap malam Nabi Muhammad SAW pernah mengerjakan sholat witir pada permulaan malam tengah malam akhiran malam dan berakhir pada waktu subuh HR Imam Bukhari dan Imam Muslim Lantas apa bacaan niat sholat witir dan bagaimana tata caranya Untuk selengkapnya berikut ini informasi bacaan niat sholat witir dan tata caranya yang dilansir dari berbagai sumber Niat Sholat Witir Satu Rakaat Ushallii sunnatam minal witri rakatal lillaahhi taaalaa Baca Juga Panduan Sholat Witir Lengkap Niat Tata Cara Hukum dan Waktu Pelaksanaannya di Bulan Ramadhan Artinya Aku niat shalat sunnat witir satu rakaat karena Allah taala,,,0,Neutral,5.0,0.9949,"es, sholat, baca, witir, resep, teler, juga, doger, sapi, anda"
