Document_No,Judul,Published Date,Full Article,Likes,Comment,Total Shares,Sentiment,Dominant_Topic,Contribution,Keyword
0,"Banyak Napi Wanita Hamil di Penjara, Alasannya Bikin Syok Mau Berhubungan dengan Sipir - Tribun-medan.com",2023-02-26,TRIBUNMEDANcom Kejadian di penjara wanita ini sempat membuat heboh beberapa waktu lalu Bagaimana tidak hampir seluruh napi wanita hamil saat di penjara Usut punya usut napi wanita dengan suka rela bercinta dengan sipir Alasannya bikin syok Begini kronologinya Publik Amerika Serikat AS bahkan dunia sempat dihebohkan dengan kasus kehamilan hampir semua napi di penjara wanita ini Diketahui belasan narapidana di salah satu penjara yang berada di AS sempat jadi buah bibir pada tahun silam saat diketahui hamil Peristiwa itupun membuat gempar banyak pihak lantaran tak ada satu rekaman cctv pun yang merekam pria masuk ke lapas tersebut Apalagi penjara itu diketahui jauh dari pemukiman warga yang membuat kemungkinan ada penyusup pria semakin kecil Karena kejanggalan itu akhirnya tes DNA pun dilakukan untuk mengungkap siapa ayah dari bayi dalam kandungan para tahanan Setelah di tes sampel DNA menunjukkan bahwa semua bayi memiliki sampel darah yang sama Artinya bahwa mereka memiliki ayah yang sama Tak lama setelah itu seorang sipir penjara berusia tahun ditangkap Orang itu dituduh melakukan hubungan intim dengan para narapidana sehingga membuat mereka semua hamil Selama penyelidikan polisi mencari tahu penyebabnya dalam kasus ini sipir tersebut disalahkan dan tertuduh Akhirnya setelah penelusuran atas kasus ini semua kebenaran terkuak,638.0,116.0,770,Negatif,4.0,0.9913,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
1,Perbedaan Baju Tahanan yang Dipakai Mario Dandy dan Shane Lukas Disoroti Warganet - Tribun-medan.com,2023-02-26,TRIBUNMEDANcom Atas kasus penganiayaan anak pengurus GP Ansor yang bernama David kini dua orang sudah ditetapkan sebagai tersangka David diketahui dianiaya oleh Mario Dandy Satriyo pada Februari lalu di Pesanggrahan Jakarta Selatan Sementara itu tersangka lainnya yaitu Shane Lukas diketahui menjadi penonton saat Mario Dandy menganiaya David Shane Lukas juga merekam penganiayaan yang dilakukan Mario Dandy Saat dihadirkan polisi di hadapan wartawan terdapat perbedaan ekspresi Mario Dandy dan Shane Lukas Shane Lukas dan Mario Dandy saat dihadirkan polisi Tribunnews Satu tersangka baru kasus penganiayaan David bernama Shane Lukas menangis ketika dihadirkan dalam konferensi pers Jumat Shane Lukas terlibat penganiayaan David oleh Mario Dandy Satriyo pada Februari lalu di Pesanggrahan Jakarta Selatan Ketika ditampilkan di depan publik Shane Lukas terlihat terus menunduk bak tak ingin menunjukan wajahnya berbeda jauh dengan Mario Dandy Bahkan baju tahanan oranye keduanya pun berbeda ketika dihadirkan di depan publik yang kemudian jadi sorotan warganet Mario Dandy lebih dulu ditetapkan tersangka setelah melakukan penganiayaan kepada anak petinggi GP Ansor David Penganiayaan itu mengakibatkan David harus dirawat hingga belum sadarkan diri sampai saat ini Ketika dihadapkan di depan publik Mario Dandy tampak tak seperti pelaku tindak kejahatan pada umumnya yang biasanya menunduk Mario Dandy justru menegakkan kepalanya dengan pandangan ke depan meski mengenakan baju tahanan ketika dihadirkan di Polres Metro Jakarta Selatan Rabu Mario Dandy terlihat tenang meski sesekali menundukkan kepalanya,233.0,56.0,295,Neutral,4.0,0.9937,"mario, david, sangka, aniaya, dandy, shane, anak, korban, jakarta, ade"
2,"Tolak Lamaran Pria India, Gadis Sulsel Bakal Dinikahi Imam Masjid, Terkuak Uang Panaiknya - Tribun-medan.com",2023-02-26,Gadis cantik asal Sulawesi Selatan yang menolak lamaran pria India terkenal sebagai sosok yang pendiam TRIBUNMEDANcom Gadis asal Wajo Syarifah Khaerunnisa yang menolak lamaran pria India bernama Asib Ali Bhore disebut akan menikah dengan seorang imam masjid Kasat Intelkam Polres Wajo AP Amdi mengatakan pernikahan Syarifah Khaerunnisa dengan imam masjid itu belum dijadwalkan tanggal pastinya Namun menurut rencana pernikahan itu akan dilangsungkan setelah lebaran Idul Fitri dengan uang panai Rp juta Dan saya panggil keluarganya apa betul perempuan ini sudah dilamar dijawab iya oleh keluarganya Orang tuanya sendiri yang melamar dari Palu ujar AP Amdi Nikahannya setelah lebaran sekalian penentuan tanggal Uang panainya Rp juta calonnya merupakan imam masjid terang dia Sebelumnya diberitakan oleh Kompascom Asib Ali Bhire yang akrab disapa Ali datang jauhjauh dari India ke Wajo Sulawei Selatan untuk melamar pacarnya Syarifah Khaerunnisa Potret Syarifah Haerunnisa warga Desa Watangrumpia Kecamatan Majauleng Kabupaten Wajo Sulawesi Selatan yang menolak lamaran WNA asal India Asib Ali Bhore istimewa Namun lamaran itu ditolak pihak keluarga Syarifah Keluarga Syarifah beralasan anak perempuannya sudah dijodohkan dengan orang lain Ali yang datang jauhjauh dari India dan usahanya untuk melamar kekasihnya berakhir siasia Dia lalu dibawa ke Polres Wajo untuk dimintai keterangan WNA tersebut orang India dan tujuannya ke sini untuk melamar kekasihnya kata Kasat Intelkam Polres Wajo AP Amdia dikutip dari Kompascom pada Sabtu Berkenalan melalui WhatsApp Disebutkan Ali dan Syarifah mulai berkenalan melalui aplikasi WhatsApp Syarifah adalah perempuan asal Wajo Sulawesi Selatan Sementara Ali berasal dari kota Lucknow negara bagian Uttar Pradesh India,180.0,26.0,207,Neutral,2.0,0.9949,"india, lamar, selatan, tolak, ali, laku, sulawesi, korban, pria, wajo"
3,"Niat Hati Kencan Sewa PSK di Hotel, Pria Ini Syok yang Datang Malah Istrinya - Tribun-medan.com",2023-02-26,TRIBUNMEDANcom Niat hati ingin menyewa jasa PSK pria ini malah terkejut saat yang datang sosok tak terduga ini Bikin sang pria syok siapa sangka yang datang malah istrinya sendiri Begini kisah lengkap pria sewa PSK di hotel namun yang datang istrinya Barubaru ini seorang pria Tionghoa bernama Zhang sedang dalam perjalanan kembali ke kampung halamannya Ketika lelah dia memutuskan berhenti di sebuah hotel untuk beristirahat Kemudian dia kebetulan melihat sebuah iklan jadi dia memutuskan untuk memanggil gadis bunga untuk menghibur dan memenuhi kebutuhannya Tak disangka saat gadis lain masuk pria itu tercengang saat mengetahui identitasnya Dilansir dari Evavn Zhang sendiri telah memiliki istri dan anak Karena keadaan keluarganya yang sulit Zhang ingin memperbaiki kondisi keluarganya Sehingga dia memutuskan untuk pergi ke kota untuk bekerja Itu juga berarti bahwa Tuan Zhang harus sementara tinggal jauh dari istri dan anakanaknya Itu juga berarti bahwa Tuan Zhang harus sementara tinggal jauh dari istri dan anakanaknya Meskipun Zhang jauh dari rumah dia masih percaya dan merasa aman dengan keluarganya Hingga Tahun Baru Imlek terakhir Zhang seperti biasa kembali ke rumah,79.0,25.0,113,Negatif,5.0,0.5616,"lapor, sri, mulyani, jabat, kemenkeu, pegawai, lhkpn, raisa, anak, pajak"
4,"Ibu Mario Dandy Suka Pamer Barang-barang Mewah, Pantas Jika Sang Anak Ikutan Suka Pamer Mobil Mewah - Suryamalang.com",2023-02-26,Ibu Mario Dandy Suka Pamer Barangbarang Mewah Pantas Jika Sang Anak Ikutan Suka Pamer Mobil Mewah SURYAMALANGCOM Peribahasa buah jatuh tak jauh dari pohonnya sepertinya cocok untuk menggambarkan bagaimana Mario Dandy dengan sang ibu Seperti yang diketahui Mario Dandy Satrio kerap memamerkan mobil mewah dan motor mewah sebelum terseret kasus penganiayaan Tak beda dengan sang anak ternyata ibu Mario Dandy suka pamer barang mewah seperti tastas bermerek ternama Sebagai istri seorang pejabat pajak yang memiliki harta kekayaan Rp miliaristri Rafael Alun Trisambodo ibu Mario Dandy punya gaya hidup yang tak kalah mewah Jika anak pejabat pajak itu gemar pamer motor dan mobil mewah lain halnya dengan sang ibu Istri Rafael Alun Trisambodo ini gemar memamerkan tas brandednya dengan harga fantastis Setelah Mario Dandy Satrio kini giliran gaya hidup mewah istri Rafael Alun Trisambodo yang disorot netizen Kolase Twitter Ia juga kerap memamerkan beberapa rumah mewahnya yang dilengkapi dengan fasilitas kolam renang dan ruangan gym Rafael Alun Trisambodo bersama istri dan anakanaknya tinggal di kawasan elit dan memiliki beberapa rumah Rumahrumah mewahnya itu disebutsebut berada di kawasan Jakarta Yogya hingga Manado Selain memiliki banyak rumah mewah Rafael Alun Trisambodo juga disebutkan memiliki banyak mobil mewah yang berderet rapi di garasi Ia juga bahkan memiliki sejumlah usaha seperti kedai kopi hingga restauran Restauran yang dimiliki mereka bahkan sudah diresmikan oleh sang istri sejak tahun dan dipublikasikan di sebuah surat kabar Istri Rafael Alun Trisambodo yang bernama Ernie itu juga sering memposting beberapa kegiatannya di Instagram Terlihat ia berpose di sebuah taman dengan menggunakan tas dan sepatu merek Christian Dior,166.0,24.0,199,Positif,7.0,0.995,", milik, anak, pajak, istri, sampah, mewah, twitter, asuh, rafael"
5,VIDEO: Aksi Sangar Kombes Hengki Habisi Debt Collector Usai Darah Jenderal Mendidih | merdeka.com,2023-02-26,Merdekacom Polda Metro Jaya bergerak cepat menggulung debt collector yang menarik paksa mobil seleb tiktok Clara Shinta Sudah tiga orang yaitu Andre Wellem Pasalbessy alias Andre Lesly Wattimena alias Dugel dan Xaverius Rahamav Alias Jay Key diamankan Saat ini ada empat mata elang masuk Daftar Pencarian Orang DPO Dirkrimum Polda Metro Jaya Kombes Hengki Haryadi mengultimatum mereka agar segera menyerahkan diri Polisi telah menyebar data keempat DPO ke seluruh Polda di Indonesia dalam rangka pengejaran Kombes Hengki saat merilis kasus ini tampak kesal dengan ulah preman berkedok debt collector fly Baca juga Debt Collector Vs Debitur Nunggak Siapa Sebenarnya yang Meresahkan Viral Video Bentak Polisi Debt Collector Jadi Tanggung Jawab Perusahaan Leasing Polda Metro Jaya Sebar Data DPO Debt Collector ke Seluruh Indonesia Saat Kapolda Metro Mendidih Sulit Tidur Lihat Kelakuan Debt Collector Bentak Polisi Dilarang Pakai Kekerasan Begini Etika Debt Collector Saat Menagih,40.0,47.0,104,Neutral,8.0,0.9926,"rini, orang, sus, trisha, mobil, afan, gus, celaka, baca, polisi"
6,"VIDEO: Harapan Anies Nasibnya Sama Seperti SBY, Didukung PKS Jadi Presiden 2024 | merdeka.com",2023-02-26,Merdekacom Mantan Gubernur DKI Jakarta Anies Baswedan menghadiri Apel Siaga Kemenangan Partai Keadilan Sejahtera PKS di Stadion Madya Jakarta Pusat Minggu Dalam pidatonya Anies mengenang saat PKS menjadi partai pertama yang bergabung dalam koalisi untuk mendukung Susilo Bambang Yudhoyono SBY sebagai Capres Dukungan PKS ini rupanya berbuah manis yakni kemenangan SBY menjadi Presiden Bahkan kemenangan ini banyak menghasilkan perbaikan dan perubahan fly Baca juga Gaya Anies Baswedan Bareng Elite PKS Naik Mobil Komando Cek Pasukan Apel Siaga Anies Adil Tak Hanya Melindungi Minoritas dan Mengakomodasi Mayoritas Tapi Semuanya Anies Puji JasaJasa Presiden RI dari Masa ke Masa Kita Luruskan dan Perkuat Anies Pakai Tagline Jakarta di Pemilu Sukses Jakarta untuk Indonesia Momen Anies Baswedan Elite PKS Naik Jip Hingga Joget di Panggung Saat Apel Siaga Anies Baswedan,210.0,135.0,358,Neutral,6.0,0.9914,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
7,"Salim Segaf: PKS Tolak Politik Uang, Ganti dengan Politik Pelayanan | merdeka.com",2023-02-26,Merdekacom Ketua Majelis Syuro Partai Keadilan Sejahtera PKS Salim Segaf AlJufri mengatakan bahwa partainya menolak politik uang Menurutnya PKS melakukan politik pelayanan untuk kepentingan rakyat Kita tegaskan bahwa PKS menolak politik uang dan menggantinya menjadi politik pelayanan pemberdayaan untuk kepentingan rakyat Indonesia kata Salim di Apel Siaga PKS Gelora Bung Karno Jakarta Minggu Salim menambahkan PKS juga menolak kriminalisasi jelang Pemilu Dia berkata penegakan hukum harus dilakukan adil bagi seluruh rakyat Indonesia Menolak kriminalisasi dengan alasan politik karena penegakan hukum dilakukan untuk menunjukkan keadilan bagi rakyat seluruh Indonesia Seluruh warga sama kedudukannya di hadapan hukum baik presiden atau tukang tambal ban baik pengemudi ojol atau konglomerat baik jenderal kopral atau bharada semua harus tunduk ujarnya,119.0,84.0,206,Neutral,6.0,0.6094,"pks, anies, baswedan, jakarta, presiden, partai, calon, menang, adil, milu"
8,"Hilang Kontak, Driver Ojol Ditemukan Tewas, sang Istri Panik - Tribun-medan.com",2023-02-26,Seorang driver ojol sempat dinyatakan hilang dan kemudian ditemukan tewas TRIBUNMEDANCOM – Belum lama ini warganet tengah dihebohkan dengan kabar driver ojol hilang kontak dan ditemukan tewas Kabar driver ojol hilang kontak dan ditemukan tewas itu seketika menjadi sorotan masyarakat Kabar driver ojol hilang kontan dan ditemukan tewas itu bermula dari laporan dari istri sang driver yang diunggah oleh akun TikTok asepngangak pada Sabtu Baca juga Driver Ojol Curi Uang di Kasir Minimarket Aksinya Mulus dan Terekam CCTV Pada unggahan itu menunjukkan menunjukkan tangkapan layar obrolan istri driver ojol yang minta tolong kepada driver ojol lainnya untuk mencaritahu keberadaan sang suami Wanita itu tampak begitu panik lantaran tak kunjung mendengar kabar terbaru dari sang suami Wanita itu pun memberitahu bahwa suaminya terakhir kali mengabarinya ketika melaporkan rute orderan terakhirnya sebelum akhirnya tak bisa dihubungi lagi Baca juga Aksi Heroik Driver Ojol Tak Menggunakan Sendal Ditengah Hujan agar Sepatu Pelanggannya Tidak Basah Kekhawatiran sang istri semakin menjadijadi karena sang suami tak biasanya belum terdengar kabarnya padahal sudah larut malam Terlebih wanita itu dan sang suaminya tengah berjauhan Sang suami diketahui merantau ke Pontianak sedangkan wanita itu dan buah hati mereka menetap di Bogor Wanita itu pun memberitahu titik penumpang yang terakhir kali dijemput sang suami Baca juga Beraksi dengan Mulus Driver Ojol Bawa Kabur Sejumlah Uang di Kasir Mini Market Ia juga sudah berusaha melapor ke pihak kepolisian namun diminta untuk menunggu  jam Mengutip dari kompascom driver ojol berinisial AF ditemukan tewas di kawasan kebun kelapa Desa Sungai Rengas Kecamatan Sungai Kakap Kabupaten Kubu Raya Kalimantan Barat Sabtu pagi Pria yang ciricirinya sama persis dengan yang dicaricari oleh wanita itu ditemukan dengan sejumlah luka di kepala dan leher yang diduga merupakan korban pembunuhan Baca juga TEREKAM CCTV Driver Ojol Terpelanting Tertabrak Sepeda Motor di Jalan Brigjen Katamso Medan Kepala Polisi Resor Kubu Raya AKBP Arief Hidayat mengatakan korban pertama kali ditemukan oleh warga yang hendak mengambil sari gula aren dan kemudian melaporkan kepada pihak kepolisian,528.0,37.0,568,Negatif,9.0,0.821,"india, gempa, jakarta, baca, ali, asib, indonesia, tolak, kali, pemuda"
9,"Ibu Biadab Pukul dan Banting Anak hingga Tewas, Perutnya Ditendangi Gara-gara Hal Sepele - Tribun-medan.com",2023-02-26,Ibu Siksa Anak hingga Tewas TRIBUNMEDANcom Garagara lupa isi ember dengan air karena keasyikan bermain bocah tahun di Kabupaten Merangin Jambi dianiaya ibu kandungnya hingga tewas Kejadian ini terjadi pada Jumat sekira pukul WIB di kecamatan Bangko Kabupaten Merangin Bocah berinisial DF tewas setelah dipukuli hingga dibanting ibunya Wanda Pelaku ibu korban sudah ditangkap beserta barang buktinya kata Kapolres Merangin AKBP Dewa Ngakan Nyoman Arinata melalui sambungan telepon Sabtu Baca juga Keistimewaan Bulan Syaban Jelang Ramadhan Berikut Penjelasan Ustaz Adi Hidayat Baca juga ALASAN Suami Tega Buang Istrinya ke Laut Ngaku Mendengar Bisikan Ghaib Begini Dikatakannya kekerasan ini bermula saat korban DF sedang bermain Kemudian ibunya yang berstatus janda meminta korban mengisi ember dengan air Lantaran sedang bermain DF tidak menuruti pelaku  Pelaku merasa emosi melihat anaknya yang terus bermain Dia lalu memukul korban menggunakan gagang sapu sebanyak dua kali di bagian perut Pelaku juga menendang korban sebanyak tiga kali di bagian perut dan memukul menggunakan tangan ke bagian wajah Baca juga Tata Cara Bayar Utang Puasa Lengkap Niat Puasa Qadha Ramadan dan Doa Berbukanya Baca juga Ingat Lili Pintauli Eks Pegawai KPK Yudi Sarankan Tolak Pengunduran Diri Pegawai Pajak Rafael Merasa belum puas dia pelaku pun membanting anaknya sendiri ke lantai berkalikali dan membenturkan kepala korban ke lantai katanya Merasa anaknya baikbaik saja pelaku kemudian pergi bekerja yakni sebagai pegawai laundry Sedangkan korban dijaga oleh kakak perempuannya Sekitar pukul WIB pelaku mendapat telepon dari anak perempuannya yang mengabarkan korban tidur dalam kondisi mendengkur sangat keras Kejadian tak biasa itu membuat kakak perempuan yang menjaga korban panik Dia pun membangunkan korban dari tidurnya namun tak kunjung bangun Namun saat itu pelaku tidak langsung pulang Sampai pukul WIB korban tak kunjung bangun dari tidur kakak perempuan korban kembali menelepon pelaku Mendengar keterangan di ujung telepon pelaku bergegas pulang,728.0,129.0,860,Negatif,2.0,0.9957,"india, lamar, selatan, tolak, ali, laku, sulawesi, korban, pria, wajo"
